city_ascii,lat,lng,country,capital,population
Huangshi,30.2011,115.039,China,minor,2469079
Yaounde,3.8667,11.5167,Cameroon,primary,2440462
Zhuhai,22.2742,113.5719,China,minor,2439585
Huludao,40.711,120.837,China,minor,2434194
Baoshan,25.112,99.161,China,,2431211
Mecca,21.4225,39.8261,Saudi Arabia,admin,2427924
Vancouver,49.25,-123.1,Canada,,2426160
Lianshan,40.7523,120.828,China,minor,2426000
Beirut,33.8981,35.5058,Lebanon,primary,2421354
Salvador,-12.9831,-38.4928,Brazil,admin,2417678
Bucharest,44.4325,26.1039,Romania,primary,2412530
Longba,33.3702,104.9603,China,,2407272
Nagpur,21.1497,79.0806,India,,2405665
Queens,40.7498,-73.7976,United States,,2405464
Tieling,42.2237,123.726,China,,2388294
Yunfu,22.9152,112.0445,China,minor,2383350
Bekasi,-6.2333,107,Indonesia,,2381053
Daegu,35.8717,128.6017,"Korea, South",admin,2376044
Ghaziabad,28.67,77.42,India,,2375820
Luoyang,34.6197,112.4539,China,minor,2372571
Luohe,33.5804,114.0166,China,minor,2367490
Algiers,36.7325,3.0872,Algeria,primary,2364230
Anshun,26.2531,105.9476,China,,2353100
Huainan,32.6314,117.0194,China,,2333896
Depok,-6.394,106.8225,Indonesia,,2330333
Konya,37.8667,32.4833,Turkey,admin,2320241
Haiphong,20.8651,106.6838,Vietnam,admin,2310280
Yanjiang,30.129,104.627,China,minor,2308631
Guangyuan,32.436,105.844,China,,2305657
Baku,40.3667,49.8352,Azerbaijan,primary,2300500
Yingkou,40.625,122.219,China,minor,2296540
Mudanjiang,44.5514,129.6329,China,minor,2290208
Riverside,33.9381,-117.3949,United States,,2288508
Fukuoka,33.59,130.4017,Japan,admin,2286000
Nantong,31.981,120.894,China,minor,2261382
Lincang,23.884,100.089,China,,2257991
Las Vegas,36.2333,-115.2654,United States,,2256509
Haikou,20.0186,110.3488,China,admin,2250000
Yuxi,24.347,102.527,China,minor,2249502
Tangerang,-6.1703,106.6403,Indonesia,,2237006
Supaul,26.126,86.605,India,,2229076
Almaty,43.24,76.915,Kazakhstan,admin,2228675
Vienna,48.2083,16.3725,Austria,primary,2223236
Esfahan,32.6653,51.6703,Iran,admin,2219343
Xining,36.6224,101.7804,China,admin,2208708
Jincheng,35.491,112.852,China,minor,2194545
Baltimore,39.3051,-76.6144,United States,,2189589
Dandong,40.1167,124.3833,China,,2188436
Yan'an,36.65,109.494,China,,2187009
Qinbaling,35.7091,107.6436,China,,2179716
Gaoping,30.7824,106.1281,China,minor,2174000
Awka,6.2069,7.0678,Nigeria,admin,2171900
Taizhou,28.6557,121.4208,China,minor,2162461
Ma'anshan,31.669,118.507,China,minor,2159930
Jiamusi,46.8,130.319,China,minor,2156505
Perth,-31.9558,115.8597,Australia,admin,2141834
Gaziantep,37.0628,37.3792,Turkey,admin,2130432
Phnom Penh,11.5696,104.921,Cambodia,primary,2129371
St. Louis,38.6359,-90.2451,United States,,2127843
Mogadishu,2.0392,45.3419,Somalia,primary,2120000
Lishui,28.468,119.923,China,minor,2116957
